datetime_beginning_utc,datetime_beginning_ept,ancillary_service,unit,value,row_is_current,version_nbr
9/10/2024 7:00:00 PM,9/10/2024 3:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/10/2024 8:00:00 PM,9/10/2024 4:00:00 PM,RTO Synchronized Reserve,Price,0.040000,True,1
9/10/2024 9:00:00 PM,9/10/2024 5:00:00 PM,RTO Synchronized Reserve,Price,13.290000,True,1
9/10/2024 10:00:00 PM,9/10/2024 6:00:00 PM,RTO Synchronized Reserve,Price,99.960000,True,1
9/10/2024 11:00:00 PM,9/10/2024 7:00:00 PM,RTO Synchronized Reserve,Price,10.360000,True,1
9/11/2024 12:00:00 AM,9/10/2024 8:00:00 PM,RTO Synchronized Reserve,Price,0.600000,True,1
9/11/2024 1:00:00 AM,9/10/2024 9:00:00 PM,RTO Synchronized Reserve,Price,0.970000,True,1
9/11/2024 2:00:00 AM,9/10/2024 10:00:00 PM,RTO Synchronized Reserve,Price,3.130000,True,1
9/11/2024 3:00:00 AM,9/10/2024 11:00:00 PM,RTO Synchronized Reserve,Price,24.220000,True,1
9/11/2024 4:00:00 AM,9/11/2024 12:00:00 AM,RTO Synchronized Reserve,Price,0.040000,True,1
